iter	Passed	Remaining
248	1831	5522
249	1832	5497
250	1836	5478
251	1837	5453
252	1838	5428
253	1839	5403
254	1841	5379
255	1842	5355
256	1845	5334
257	1847	5312
258	1851	5297
259	1853	5276
260	1855	5253
261	1857	5232
262	1859	5211
263	1861	5189
264	1862	5166
265	1866	5151
266	1868	5129
267	1869	5106
268	1870	5084
269	1872	5061
270	1873	5039
271	1874	5017
272	1876	4996
273	1878	4976
274	1882	4963
275	1885	4944
276	1887	4925
277	1888	4905
278	1890	4884
279	1891	4864
280	1893	4843
281	1896	4828
282	1898	4808
283	1899	4789
284	1901	4769
285	1903	4750
286	1906	4736
287	1907	4716
288	1913	4706
289	1914	4687
290	1916	4668
291	1918	4651
292	1921	4636
293	1923	4617
294	1927	4607
295	1929	4590
296	1931	4572
297	1934	4556
298	1936	4539
299	1937	4521
300	1946	4519
301	1947	4501
302	1950	4487
303	1954	4473
304	1960	4468
305	1962	4451
306	1964	4433
307	1965	4416
308	1967	4399
309	1969	4383
310	1975	4376
311	1977	4359
312	1978	4343
313	1982	4330
314	1984	4314
315	1990	4307
316	1992	4292
317	1993	4276
318	1995	4259
319	1998	4246
320	1999	4230
321	2006	4224
322	2008	4209
323	2009	4193
324	2011	4177
325	2014	4164
326	2022	4161
327	2023	4146
328	2025	4131
329	2028	4118
330	2029	4102
331	2039	4104
332	2041	4089
333	2043	4074
334	2044	4059
335	2048	4048
336	2051	4036
337	2053	4021
338	2055	4007
339	2056	3992
340	2057	3977
341	2059	3962
342	2064	3953
343	2066	3940
344	2069	3928
345	2070	3914
346	2072	3900
347	2074	3886
348	2075	3872
349	2079	3862
350	2081	3848
351	2083	3835
352	2085	3822
353	2087	3809
354	2096	3809
355	2098	3795
356	2099	3781
357	2101	3767
358	2103	3755
359	2105	3742
360	2106	3729
361	2112	3723
362	2114	3710
363	2131	3724
364	2135	3714
365	2137	3702
366	2140	3692
367	2143	3680
368	2144	3667
369	2146	3654
370	2148	3642
371	2149	3629
372	2151	3616
373	2156	3609
374	2159	3599
375	2161	3587
376	2163	3574
377	2165	3563
378	2166	3550
379	2168	3538
380	2172	3529
381	2173	3517
382	2175	3504
383	2176	3492
384	2181	3484
385	2183	3473
386	2187	3464
387	2191	3456
388	2192	3444
389	2194	3432
390	2196	3421
391	2198	3409
392	2200	3397
393	2205	3392
394	2209	3383
395	2211	3373
396	2212	3361
397	2214	3349
